name,borough,attendancePercentage
P.S. 015 ROBERTO CLEMENTE,M,92.09
P.S. 019 ASHER LEVY,M,92.15
P.S. 020 ANNA SILVER,M,95.36
P.S. 034 FRANKLIN D. ROOSEVELT,M,92.94
THE STAR ACADEMY P.S.63,M,80.25
P.S. 064 ROBERT SIMON,M,93.47
P.S. 110 FLORENCE NIGHTINGALE,M,93.90
P.S. 134 HENRIETTA SZOLD,M,88.25
P.S. 140 NATHAN STRAUS,M,87.10
P.S. 142 AMALIA CASTRO,M,91.19
P.S. 184M SHUANG WEN,M,97.65
P.S. 188 THE ISLAND SCHOOL,M,86.76
ORCHARD COLLEGIATE ACADEMY,M,91.91
THE EAST VILLAGE COMMUNITY SCHOOL,M,96.38
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,M,88.31
THE CHILDREN S WORKSHOP SCHOOL,M,92.42
NEIGHBORHOOD SCHOOL,M,87.86
EARTH SCHOOL,M,89.42
SCHOOL FOR GLOBAL LEADERS,M,90.27
UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,M,87.08
EAST SIDE COMMUNITY SCHOOL,M,89.80
FORSYTH SATELLITE ACADEMY,M,43.01
MARTA VALLE HIGH SCHOOL,M,73.55
LOWER EAST SIDE PREPARATORY HIGH SCHOOL,M,64.56
NEW EXPLORATIONS INTO SCIENCE TECHNOLOG,M,94.94
CASCADES HIGH SCHOOL,M,48.14
BARD HIGH SCHOOL EARLY COLLEGE,M,96.56
TOMPKINS SQUARE MIDDLE SCHOOL,M,94.73
P.S. 001 ALFRED E. SMITH,M,94.59
P.S. 002 MEYER LONDON,M,96.15
P.S. 003 CHARRETTE SCHOOL,M,93.57
P.S. 006 LILLIE D. BLAKE,M,94.59
P.S. 011 WILLIAM T. HARRIS,M,93.87
P.S. 033 CHELSEA PREP,M,93.34
P.S. 040 AUGUSTUS SAINT GAUDENS,M,95.25
P.S. 041 GREENWICH VILLAGE,M,96.11
P.S. 042 BENJAMIN ALTMAN,M,97.38
47 THE AMERICAN SIGN LANGUAGE AND ENGLIS,M,88.42
P.S. 051 ELIAS HOWE,M,91.44
P.S. 059 BEEKMAN HILL INTERNATIONAL,M,95.64
P.S. 77 LOWER LAB SCHOOL,M,97.19
P.S. 89,M,95.59
J.H.S. 104 SIMON BARUCH,M,95.86
P.S. 111 ADOLPH S. OCHS,M,90.14
EAST SIDE MIDDLE SCHOOL,M,98.23
P.S. 116 MARY LINDLEY MURRAY,M,93.38
P.S. 124 YUNG WING,M,97.90
P.S. 126 JACOB AUGUST RIIS,M,97.32
P.S. 130 HERNANDO DE SOTO,M,98.26
M.S. 131,M,95.55
THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY,M,86.77
STEPHEN T. MATHER BUILDING ARTS CRAFTS,M,82.51
P.S. 150,M,95.13
YORKVILLE COMMUNITY SCHOOL,M,92.82
P.S. 158 BAYARD TAYLOR,M,94.66
J.H.S. 167 ROBERT F. WAGNER,M,96.15
YORKVILLE EAST MIDDLE SCHOOL,M,93.91
P.S. 183 ROBERT L. STEVENSON,M,97.28
P.S. 198 ISADOR E. IDA STRAUS,M,94.80
P.S. 212 MIDTOWN WEST,M,95.23
P.S. I.S. 217 ROOSEVELT ISLAND,M,94.99
ELLA BAKER SCHOOL,M,89.40
P.S. 234 INDEPENDENCE SCHOOL,M,94.21
M.S. 255 SALK SCHOOL OF SCIENCE,M,95.91
THE CLINTON SCHOOL,M,91.42
EAST SIDE ELEMENTARY SCHOOL PS 267,M,92.95
BATTERY PARK CITY SCHOOL,M,96.01
MANHATTAN EARLY COLLEGE SCHOOL FOR ADVER,M,74.37
THE RIVER SCHOOL,M,94.34
URBAN ASSEMBLY MAKER ACADEMY,M,87.30
FOOD AND FINANCE HIGH SCHOOL,M,77.28
I.S. 289,M,95.75
P.S. 290 MANHATTAN NEW SCHOOL,M,95.49
ESSEX STREET ACADEMY,M,88.65
HIGH SCHOOL OF HOSPITALITY MANAGEMENT,M,79.45
M.S. 297,M,82.38
PACE HIGH SCHOOL,M,87.18
URBAN ASSEMBLY SCHOOL OF DESIGN AND CONS,M,74.41
FACING HISTORY SCHOOL THE,M,77.71
URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND,M,81.69
LOWER MANHATTAN ARTS ACADEMY,M,81.59
NEW YORK CITY LAB MIDDLE SCHOOL FOR COLL,M,98.39
JAMES BALDWIN SCHOOL THE: A SCHOOL FOR,M,56.35
URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YO,M,64.44
SIXTH AVENUE ELEMENTARY SCHOOL,M,91.71
THE PECK SLIP SCHOOL,M,95.03
THE 47 AMERICAN SIGN LANGUAGE ENGLISH,M,85.07
GRAMERCY ARTS HIGH SCHOOL,M,54.12
NYC ISCHOOL,M,93.01
DISTRICT 2 PRE K CENTER,M,89.66
MANHATTAN BUSINESS ACADEMY,M,84.81
BUSINESS OF SPORTS SCHOOL,M,87.11
EMMA LAZARUS HIGH SCHOOL,M,88.10
SPRUCE STREET SCHOOL,M,94.93
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMA,M,64.28
HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,M,80.38
INSTITUTE FOR COLLABORATIVE EDUCATION,M,94.38
PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,M,89.25
BARUCH COLLEGE CAMPUS HIGH SCHOOL,M,95.97
N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUD,M,91.17
SCHOOL OF THE FUTURE HIGH SCHOOL,M,95.00
N.Y.C. MUSEUM SCHOOL,M,87.72
ELEANOR ROOSEVELT HIGH SCHOOL,M,96.00
MILLENNIUM HIGH SCHOOL,M,96.72
LANDMARK HIGH SCHOOL,M,53.68
HIGH SCHOOL FOR HEALTH PROFESSIONS AND H,M,86.65
QUEST TO LEARN,M,87.09
LEADERSHIP AND PUBLIC SERVICE HIGH SCHOO,M,60.84
MANHATTAN ACADEMY FOR ARTS LANGUAGE,M,85.77
MURRAY HILL ACADEMY,M,73.40
HUDSON HIGH SCHOOL OF LEARNING TECHNOLOG,M,82.03
INTERNATIONAL HIGH SCHOOL AT UNION SQUAR,M,87.32
MANHATTAN VILLAGE ACADEMY,M,96.24
BALLET TECH NYC PUBLIC SCHOOL FOR DANCE,M,97.93
VANGUARD HIGH SCHOOL,M,82.57
MANHATTAN INTERNATIONAL HIGH SCHOOL,M,89.73
STUYVESANT HIGH SCHOOL,M,-1.00
HIGH SCHOOL OF ECONOMICS AND FINANCE,M,82.50
UNITY CENTER FOR URBAN TECHNOLOGIES,M,78.94
URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNO,M,89.20
TALENT UNLIMITED HIGH SCHOOL,M,88.35
MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS,M,63.52
P.S. 527 EAST SIDE SCHOOL FOR SOCIAL A,M,94.02
JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,M,68.51
REPERTORY COMPANY HIGH SCHOOL FOR THEATR,M,89.36
UNION SQUARE ACADEMY FOR HEALTH SCIENCES,M,54.47
HARVEST COLLEGIATE HIGH SCHOOL,M,85.23
MANHATTAN BRIDGES HIGH SCHOOL,M,85.82
NEW DESIGN HIGH SCHOOL,M,67.25
INDEPENDENCE HIGH SCHOOL,M,42.25
HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN,M,98.00
ACADEMY FOR SOFTWARE ENGINEERING,M,88.00
LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMER,M,83.76
URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,M,87.96
HIGH SCHOOL M560 CITY AS SCHOOL,M,-1.00
URBAN ACADEMY LABORATORY HIGH SCHOOL,M,93.63
SATELLITE ACADEMY HIGH SCHOOL,M,100.00
MANHATTAN COMPREHENSIVE NIGHT AND DAY HI,M,100.00
RICHARD R. GREEN HIGH SCHOOL OF TEACHING,M,87.98
HARVEY MILK HIGH SCHOOL,M,61.81
THE HIGH SCHOOL OF FASHION INDUSTRIES,M,86.22
HUMANITIES PREPARATORY ACADEMY,M,69.36
CHELSEA CAREER AND TECHNICAL EDUCATION H,M,74.08
ART AND DESIGN HIGH SCHOOL,M,83.41
LIFE SCIENCES SECONDARY SCHOOL,M,69.26
LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,M,97.91
CITY KNOLL MIDDLE SCHOOL,M,99.43
P.S. 009 SARAH ANDERSON,M,96.29
J.H.S. 054 BOOKER T. WASHINGTON,M,93.15
P.S. 075 EMILY DICKINSON,M,94.38
P.S. 076 A. PHILIP RANDOLPH,M,90.56
P.S. 084 LILLIAN WEBER,M,93.58
P.S. 087 WILLIAM SHERMAN,M,95.71
P.S. 145 THE BLOOMINGDALE SCHOOL,M,85.02
P.S. 149 SOJOURNER TRUTH,M,95.43
P.S. 163 ALFRED E. SMITH,M,94.40
P.S. 165 ROBERT E. SIMON,M,93.24
P.S. 166 THE RICHARD RODGERS SCHOOL OF T,M,95.29
P.S. 180 HUGO NEWMAN,M,90.90
THE LOCKE SCHOOL OF ARTS AND ENGINEERING,M,88.88
THE RIVERSIDE SCHOOL FOR MAKERS AND ARTI,M,90.06
P.S. 199 JESSIE ISADOR STRAUS,M,96.44
STEM INSTITUTE OF MANHATTAN,M,90.00
P.S. 242 THE YOUNG DIPLOMATS MAGNET AC,M,91.60
M.S. 243 CENTER SCHOOL,M,98.31
M.S. M245 THE COMPUTER SCHOOL,M,95.97
M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,M,97.33
M.S. 250 WEST SIDE COLLABORATIVE MIDDLE,M,90.85
LAFAYETTE ACADEMY,M,92.05
COMMUNITY ACTION SCHOOL MS 258,M,96.31
WEST END SECONDARY SCHOOL,M,96.29
THE MAXINE GREENE HS FOR IMAGINATIVE INQ,M,75.07
URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,M,81.08
P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,M,93.76
THE ANDERSON SCHOOL,M,97.68
THE URBAN ASSEMBLY SCHOOL FOR GREEN CARE,M,77.77
THE GLOBAL LEARNING COLLABORATIVE,M,-1.00
INNOVATION DIPLOMA PLUS,M,50.84
WADLEIGH SECONDARY SCHOOL FOR THE PERFOR,M,90.93
FRANK MCCOURT HIGH SCHOOL,M,85.35
WEST PREP ACADEMY,M,91.50
P.S. 452,M,95.81
BEACON HIGH SCHOOL,M,95.32
FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUS,M,91.14
HIGH SCHOOL FOR LAW ADVOCACY AND COMMUN,M,74.82
HIGH SCHOOL OF ARTS AND TECHNOLOGY,M,71.36
EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,M,35.30
MANHATTAN HUNTER SCIENCE HIGH SCHOOL,M,96.55
SPECIAL MUSIC SCHOOL,M,94.73
FREDERICK DOUGLASS ACADEMY II SECONDARY,M,80.45
MOTT HALL II,M,94.45
P.S. 007 SAMUEL STERN,M,86.43
TAG YOUNG SCHOLARS,M,97.81
RIVER EAST ELEMENTARY,M,92.80
P.S. 38 ROBERTO CLEMENTE,M,86.77
JAMES WELDON JOHNSON,M,89.75
THE LEXINGTON ACADEMY,M,92.32
P.S. 083 LUIS MUNOZ RIVERA,M,94.74
P.S. 096 JOSEPH LANZETTA,M,92.06
P.S. 102 JACQUES CARTIER,M,90.90
P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDU,M,88.65
P.S. 112 JOSE CELSO BARBOSA,M,88.99
P.S. 146 ANN M. SHORT,M,93.93
P.S. 155 WILLIAM PACA,M,95.10
P.S. 171 PATRICK HENRY,M,92.19
THE BILINGUAL BICULTURAL SCHOOL,M,92.26
P.S. 206 JOSE CELSO BARBOSA,M,93.48
M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS,M,95.21
THE JUDITH S. KAYE HIGH SCHOOL,M,53.73
ESPERANZA PREPARATORY ACADEMY,M,84.68
MOSAIC PREPARATORY ACADEMY,M,89.76
RENAISSANCE SCHOOL OF THE ARTS,M,92.21
MANHATTAN CENTER FOR SCIENCE AND MATHEMA,M,89.50
PARK EAST HIGH SCHOOL,M,86.45
CENTRAL PARK EAST I,M,95.21
CENTRAL PARK EAST HIGH SCHOOL,M,96.23
YOUNG WOMEN S LEADERSHIP SCHOOL,M,94.76
HERITAGE SCHOOL THE,M,76.56
ISAAC NEWTON MIDDLE SCHOOL FOR MATH SC,M,93.24
CENTRAL PARK EAST II,M,92.09
P.S. 030 HERNANDEZ HUGHES,M,92.27
P.S. 036 MARGARET DOUGLAS,M,92.81
P.S. 046 ARTHUR TAPPAN,M,90.30
P.S. 092 MARY MCLEOD BETHUNE,M,91.30
P.S. 123 MAHALIA JACKSON,M,90.77
P.S. 125 RALPH BUNCHE,M,93.24
P.S. 129 JOHN H. FINLEY,M,88.20
P.S. 133 FRED R MOORE,M,91.59
EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,M,80.16
P.S. 154 HARRIET TUBMAN,M,93.88
THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COM,M,77.87
P.S. 161 PEDRO ALBIZU CAMPOS,M,91.90
P.S. 175 HENRY H GARNET,M,93.08
P.S. 194 COUNTEE CULLEN,M,87.27
P.S. 197 JOHN B. RUSSWURM,M,91.56
P.S. 200 THE JAMES MCCUNE SMITH SCHOOL,M,90.15
HARLEM RENAISSANCE HIGH SCHOOL,M,36.97
URBAN ASSEMBLY ACADEMY FOR FUTURE LEADER,M,87.78
MOTT HALL HIGH SCHOOL,M,78.77
THURGOOD MARSHALL ACADEMY LOWER SCHOOL,M,91.42
COLUMBIA SECONDARY SCHOOL,M,93.90
URBAN ASSEMBLY SCHOOL FOR THE PERFORMING,M,69.38
FREDERICK DOUGLASS ACADEMY,M,83.98
NEW DESIGN MIDDLE SCHOOL,M,87.68
TEACHERS COLLEGE COMMUNITY SCHOOL,M,94.30
THURGOOD MARSHALL ACADEMY FOR LEARNING A,M,91.02
HIGH SCHOOL FOR MATHEMATICS SCIENCE AND,M,93.91
P.S. 004 DUKE ELLINGTON,M,92.09
P.S. 005 ELLEN LURIE,M,89.25
P.S. 008 LUIS BELLIARD,M,92.20
P.S. 018 PARK TERRACE,M,93.55
P.S. 028 WRIGHT BROTHERS,M,92.11
P.S. 048 P.O. MICHAEL J. BUCZEK,M,95.81
HAROLD O. LEVY SCHOOL,M,95.20
P.S. 098 SHORAC KAPPOCK,M,93.33
