name,borough,description
P.S. 101 - BROOKLYN,BROOKLYN ,Addition
P.S./I.S. 338 - BROOKLYN,BROOKLYN ,Demo
P.S./I.S. 338 - BROOKLYN,BROOKLYN ,New
PRE-K CENTER @ 369 93RD STREET - BROOKLYN,BROOKLYN ,New
PRE-K CENTER @ 219 25TH STREET - BROOKLYN,BROOKLYN ,Lease
PRE-K CENTER @ 1223 CONEY ISLAND AVENUE - BROOKLYN,BROOKLYN ,Lease
P.S. 677 - BROOKLYN,BROOKLYN ,Lease
P.S. 677 - BROOKLYN,BROOKLYN ,Lease
PRE-K CENTER @ 1423 62ND STREET - BROOKLYN,BROOKLYN ,Lease
PRE-K CENTER @ 1355 84TH STREET - BROOKLYN,BROOKLYN ,Lease
P.S. 884 - BROOKLYN,BROOKLYN ,Lease
P.S. 884 - BROOKLYN,BROOKLYN ,Lease
I.S. 323 - MANHATTAN,MANHATTAN,New
P.S. 342 (RIVERSIDE CENTER) - MANHATTAN,MANHATTAN,New
PRE-K CENTER @ 2 LAFAYETTE STREET - MANHATTAN,MANHATTAN,Interior
ISHS @ M837,MANHATTAN,Lease
ISHS @ M837,MANHATTAN,Lease
P.S. 303 - QUEENS,QUEENS   ,Addition
P.S. 303 - QUEENS,QUEENS   ,Demo
P.S. 11 - QUEENS,QUEENS   ,Addition
P.S. 19 - QUEENS,QUEENS   ,Addition
P.S. 24 - QUEENS,QUEENS   ,Addition
P.S. 24 - QUEENS,QUEENS   ,Demo
P.S. 35 - QUEENS,QUEENS   ,Addition
P.S. 49 - QUEENS,QUEENS   ,Addition
P.S. 50 - QUEENS,QUEENS   ,Addition
I.S. 125 - QUEENS,QUEENS   ,Addition
P.S. 143 - QUEENS,QUEENS   ,Demo
P.S. 163 - QUEENS,QUEENS   ,Addition
P.S. 176 - QUEENS,QUEENS   ,Addition
P.S. 92 - QUEENS,QUEENS   ,Addition
P.S. 298 - QUEENS,QUEENS   ,New
PRE-K CENTER @ 70-24 47TH AVENUE - QUEENS,QUEENS   ,Lease
P.S. 332 - QUEENS,QUEENS   ,New
P.S. 335 - QUEENS,QUEENS   ,New
IS/HS 336 - QUEENS,QUEENS   ,Lease
PRE-K CENTER @ 32-52 37TH STREET - QUEENS,QUEENS   ,Lease
P.S. 398 - QUEENS,QUEENS   ,Demo
PRE-K CENTER @ JACKSON AVENUE - QUEENS,QUEENS   ,Lease
P.S. 82 - STATEN ISLAND,STATEN IS,Lease
CURTIS HIGH SCHOOL ANNEX - STATEN ISLAND,STATEN IS,Addition
SUSAN E. WAGNER HS ANNEX - STATEN ISLAND,STATEN IS,Addition
P.S. 14 - BRONX,BRONX    ,Addition
P.S. 46 - BRONX,BRONX    ,Addition
P.S. 46 - BRONX,BRONX    ,Demo
P.S. 56 - BRONX,BRONX    ,Addition
P.S. 317 - BRONX,BRONX    ,New
PRE-K CENTER 2 @ 2490-2500 WEBSTER AVENUE - BRONX,BRONX    ,Lease
PRE-K CENTER @ 2510 MARION AVENUE - BRONX,BRONX    ,Lease
P.S. 315 - BRONX,BRONX    ,Lease
P.S. 3 - BROOKLYN,BROOKLYN ,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL
I.S. 14 - BROOKLYN,BROOKLYN ,WATER PENETRATION/PLANYC BOILER/PLANYC CLIMATE
P.S. 15 - BROOKLYN,BROOKLYN ,SANDY - INSTALL TEMPORARY BOILERS
P.S. 19 - BROOKLYN,BROOKLYN ,FY16 RESO A PLAYGROUND REDVELOPMENT
P.S. 25 - BROOKLYN,BROOKLYN ,ROOFS/PARAPETS/EXT MASONRY/EXT DOORS
I.S. 393 - BROOKLYN,BROOKLYN ,FULL PROGRAM ACCESSIBILITY/LOW VOLTAGE ELECTRICAL
P.S. 26 - BROOKLYN,BROOKLYN ,FY13 RESO A PLAYGROUND REDEVELOPMENT
P.S. 31 - BROOKLYN,BROOKLYN ,EXTERIOR MASONRY/PARAPETS
I.S. 330 - BROOKLYN,BROOKLYN ,KITCHEN FLOORING/FLOOD/ANSUL SYSTEM
P.S. 34 - BROOKLYN,BROOKLYN ,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL
P.S. 44 - BROOKLYN,BROOKLYN ,PLANYC BOILER/PLANYC CLIMATE CTRL/FIRE ALARM
P.S. 46 - BROOKLYN,BROOKLYN ,AUDITORIUM UPGRADE
LYONS COMMUNITY SCHOOL - K,BROOKLYN ,PARAPETS/FLOOD ELIMINATION/ROOFS/MASONRY/GYM UPG
J.H.S. 57 - BROOKLYN,BROOKLYN ,PUBLIC ADDRESS SYSTEM REPLACEMENT
P.S. 73 - BROOKLYN,BROOKLYN ,EXT MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS
K753 SPED - BROOKLYN,BROOKLYN ,LOW VOLTAGE ELEC SYSTEM/ANSUL SYSTEM
I.S. 88 - BROOKLYN,BROOKLYN ,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL
P.S. 95 - BROOKLYN,BROOKLYN ,PARAPET/ROOFS/EXT MASONRY
P.S. 104 - BROOKLYN,BROOKLYN ,WATER INFILTRATION/FLOOD/PARAPETS/ROOFS
P.S. 106 - BROOKLYN,BROOKLYN ,FY 15 RESO A ROOM CONVERSION
I.S. 349 - BROOKLYN,BROOKLYN ,SCIENCE LAB UPGRADES
P.S. 114 - BROOKLYN,BROOKLYN ,EXTERIOR MASONRY
BROOKLYN COMM. HS OF COMMUNICA,BROOKLYN ,EXTERIOR MASONRY/PARAPETS/ROOFS
P.S. 119 - BROOKLYN,BROOKLYN ,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL
P.S. 130 - BROOKLYN,BROOKLYN ,WATER PENETRATION THROUGH EXTERIOR/PARAPETS/ROOFS
I.S. 136 - BROOKLYN,BROOKLYN ,RPZ VALVES/LOW VOLTAGE ELEC SYSTEM
I.S. 821 - BROOKLYN,BROOKLYN ,FY16 RESO A GYMNASIUM UPGRADE
P.S. 138 - BROOKLYN,BROOKLYN ,LIGHTING REPLACEMENT (DCAS)
P.S. 152 - BROOKLYN,BROOKLYN ,TCU REMOVAL & PLAYGROUND REDEVELOPMENT
P.S. 160 - BROOKLYN,BROOKLYN ,EXTERIOR MASONRY/FLOOD ELMNTN/PARAPETS
P.S. 179 - BROOKLYN,BROOKLYN ,FY16 RESO A AUDITORIUM UPGRADE
P.S. 188 - BROOKLYN,BROOKLYN ,SANDY:INT/HEATING/ELEC/FLOOD/CLIMATE/VENT/FA
P.S. 192 - BROOKLYN,BROOKLYN ,DETERIORATED WINDOW WELL WALLS/FLOOD/PARAPETS/ROOF
P.S. 193 - BROOKLYN,BROOKLYN ,TCU REMOVAL & PLAYGROUND REDEVELOPMENT
P.S. 194 - BROOKLYN,BROOKLYN ,MASONRY/WINDOWS/ROOFS/PARAPETS
P.S. 195 - BROOKLYN,BROOKLYN ,SANDY- TEMP BOILER
P.S. 196 - BROOKLYN,BROOKLYN ,FY16 RESO A LIBRARY UPGRADE
